listing_id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,minimum_nights,maximum_nights,accommodates,bathrooms,bedrooms,beds,amenities_TV,amenities_Heating,amenities_Air conditioning,amenities_Breakfast,amenities_Laptop friendly workspace,amenities_Indoor fireplace,amenities_Iron,amenities_Hair dryer,amenities_Private entrance,amenities_Smoke detector,amenities_Carbon monoxide detector,amenities_First aid kit,amenities_Fire extinguisher,amenities_Lock on bedroom door,amenities_Pool,amenities_Kitchen,amenities_Washer,amenities_Dryer,amenities_Free parking on premises,amenities_Elevator,amenities_Hot tub,amenities_Gym,amenities_Pets allowed,amenities_Smoking allowed,amenities_Suitable for events,amenities_Pets live on this property,price,predicted_price,fall_price,spring_price,summer_price,winter_price,weekday_price,weekend_price,mean,var,count
18793757,Broadview,Other neighborhoods,47.71031,-122.36464,House,Entire home/apt,1,14,6,1.5,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,100.0,106.00896453857422,270.0,270.0,271.46068376068376,270.0,270.36923076923074,270.3611111111111,0.8439500000000001,0.04894902944444443,10
18794271,Minor,Central Area,47.60334,-122.31489,House,Entire home/apt,2,28,14,2.0,4.0,9.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,527.0806274414061,735.0,733.8484848484848,735.9259259259259,735.0,719.9242424242426,749.9629629629628,0.7717,,1
18794925,Minor,Central Area,47.60222,-122.31657,House,Entire home/apt,2,28,12,2.0,4.0,8.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,627.1129150390625,746.0,744.1575757575757,747.4814814814815,746.0,721.8787878787879,769.9407407407408,0.9681,,1
18805419,Broadway,Capitol Hill,47.61775,-122.32288,Apartment,Entire home/apt,1,1125,4,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,135.0,129.98046875,120.43461538461538,108.5060606060606,167.7202279202279,99.73461538461538,121.4607226107226,126.73703703703706,0.786610344827586,0.07819961051724139,145
18808283,Wallingford,Other neighborhoods,47.65992,-122.32429,Apartment,Entire home/apt,7,150,4,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,99.42356872558594,106.02692307692308,106.0190909090909,120.0,99.0,107.77569930069929,107.74730769230769,0.7521217391304348,0.09999905723320156,23
18809004,North Admiral,West Seattle,47.57251,-122.38572,Townhouse,Entire home/apt,2,30,4,1.5,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,152.5953826904297,138.14615384615385,134.54939393939395,126.58119658119658,147.5,138.01392773892778,135.37444444444444,0.7579692307692306,0.10003523955465587,39
18810181,First Hill,Downtown,47.61301,-122.3284,Condominium,Entire home/apt,2,1125,3,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,150.0,141.97378540039062,150.0,150.0,150.0,150.0,150.0,150.0,0.9272846153846154,0.003992534743589745,13
18811147,Laurelhurst,Other neighborhoods,47.65934,-122.28472,Apartment,Entire home/apt,1,14,5,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,97.89036560058594,139.43076923076922,139.68575757575758,146.2780626780627,141.65,139.72441724941723,143.7978774928775,0.8514760000000001,0.033070356185858574,100
18820154,Alki,West Seattle,47.58744,-122.39566,House,Entire home/apt,2,60,7,1.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,199.0,241.62026977539062,100.59230769230768,125.41939393939394,227.91168091168092,99.0,135.68892773892773,140.77276353276355,0.8483947368421052,0.04459530943609021,57
18823141,Roosevelt,Other neighborhoods,47.68575,-122.30692,Guest suite,Entire home/apt,1,7,4,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,105.0,96.8580551147461,115.1346153846154,105.90575757575758,115.81680911680913,116.2,112.18980186480186,114.33878917378915,0.8753919642857143,0.03653974380871945,112
