,listing_id,fall_price,spring_price,summer_price,winter_price,weekday_price,weekend_price
0,2318,404.0576923076923,318.8160606060606,482.90455840455843,296.0,374.21649184149186,376.6726638176638
1,4291,82.0,82.0,82.0,82.0,82.0,82.0
2,5682,68.88846153846154,60.42307692307692,54.13646723646724,76.94999999999999,62.36923076923077,67.82977207977208
3,6606,93.74230769230769,92.14181818181818,104.3011396011396,94.25,95.8409090909091,96.37672364672365
4,9419,64.8,64.7078787878788,64.87407407407407,64.8,63.593939393939394,65.99703703703705
5,9460,117.34615384615384,97.21545454545455,127.93732193732194,94.06153846153846,109.19772727272726,109.08250712250712
6,9531,169.65384615384616,165.0,171.71794871794873,166.5769230769231,168.0769230769231,168.39743589743588
7,9534,128.96153846153845,127.43333333333334,145.0,125.0,131.3397435897436,131.8576923076923
8,9596,127.33846153846153,122.75515151515151,141.11737891737891,130.75,128.31526806526807,132.66522792022792
9,9909,175.0,175.0,181.36182336182338,175.0,176.3846153846154,176.7962962962963
10,10209,50.0,50.0,50.0,50.0,50.0,50.0
11,10385,60.0,58.587272727272726,60.0,60.0,59.61363636363636,59.68
12,10695,109.0,101.13818181818182,109.0,109.0,106.9090909090909,107.16
13,11012,304.11923076923074,296.26969696969695,278.04245014245015,322.2,298.4502331002331,301.86545584045587
14,11411,60.0,58.375151515151515,60.0,60.0,59.50757575757576,59.68
15,14386,43.34615384615385,40.75151515151515,41.525356125356126,44.4,41.84114219114219,43.17037037037037
16,15108,64.8,57.442727272727275,54.533618233618235,65.0,60.25367132867133,60.63450142450142
17,15749,140.0,90.66363636363636,158.70598290598292,140.0,132.06258741258742,132.6222222222222
18,17951,98.77307692307693,91.95,83.04159544159543,111.0,95.07115384615385,97.31118233618233
19,19619,185.65769230769232,171.1539393939394,308.0951566951567,145.0,200.1969696969697,204.7564245014245
20,20868,199.0,187.03969696969696,199.0,199.0,195.6098484848485,196.41
21,20927,92.5,91.43818181818182,92.5925925925926,92.5,90.6590909090909,93.8562962962963
22,20928,82.5,71.79878787878788,82.5925925925926,82.5,77.93939393939394,81.7562962962963
23,23192,204.8846153846154,164.18757575757576,240.0,196.5,201.58071095571097,201.20538461538462
24,23356,152.04615384615386,177.9887878787879,204.26267806267805,131.17692307692306,163.21824009324007,169.51903133903136
25,24212,218.97307692307692,210.77878787878788,467.0980056980057,157.0,259.07785547785545,267.8470797720798
26,25002,76.09615384615384,76.86212121212121,82.66666666666666,75.25,75.61567599067598,79.82179487179486
27,26116,270.3461538461538,270.8354545454545,269.23276353276356,272.7,270.5977272727273,270.9594586894587
28,26795,246.61538461538464,196.98333333333335,285.0,172.0,223.5224358974359,226.77692307692308
29,30712,64.0,62.63939393939394,67.35954415954416,64.0,63.723543123543124,65.27592592592593
30,37234,85.0,85.0,85.0,85.0,85.0,85.0
31,38545,315.3461538461538,275.5151515151515,491.85185185185185,225.0,327.56526806526807,326.2913105413105
32,41401,95.0,95.0,95.0,95.0,95.0,95.0
33,43373,57.230769230769226,57.67878787878788,61.74017094017094,60.4,58.44324009324009,60.08162393162393
34,47491,55.25,55.07727272727273,55.388888888888886,55.25,52.98863636363636,57.49444444444445
35,48848,110.0,110.0,110.0,110.0,110.0,110.0
36,50233,195.08846153846153,228.4909090909091,253.25071225071224,234.93461538461537,227.42237762237764,228.45997150997152
37,58503,75.0,75.0,75.0,75.0,75.0,75.0
38,63733,85.95384615384614,85.48969696969698,87.41139601139601,87.6,84.96177156177156,88.265698005698
39,66540,50.0,50.0,50.0,50.0,50.0,50.0
40,66611,45.0,45.0,45.0,45.0,45.0,45.0
41,67270,70.0,70.0,70.0,70.0,70.0,70.0
42,77149,110.0,110.0,110.0,110.0,110.0,110.0
43,86185,74.63461538461539,72.29878787878788,68.78176638176637,79.7,73.27785547785547,74.42972934472934
44,103920,220.10384615384615,177.20999999999998,121.97378917378917,231.9,195.325,180.26881766381766
45,107884,81.14615384615385,80.01545454545455,83.57692307692308,80.05,80.77465034965036,81.61961538461539
46,107962,120.0,120.0,120.0,120.0,120.0,120.0
47,108765,130.0,130.0,130.0,130.0,130.0,130.0
48,116221,125.0,126.37575757575758,145.0,125.34615384615384,129.7301864801865,131.13076923076923
49,117165,120.0,120.0,120.0,120.0,120.0,120.0
50,119103,79.1923076923077,79.0,85.3019943019943,79.0,80.57692307692308,80.67022792022792
51,132120,96.90384615384616,87.10696969696968,74.86011396011396,110.0,91.11579254079254,93.31967236467236
52,132160,159.71153846153845,146.29242424242426,185.54273504273505,158.75,158.57313519813522,166.57521367521366
53,134091,164.75384615384615,154.08393939393937,160.0,180.0,162.96812354312354,166.45076923076923
54,136480,85.0,85.0,85.0,85.0,85.0,85.0
55,140331,76.08846153846153,75.86454545454545,74.33333333333334,80.0,76.30996503496503,76.83320512820512
56,143580,91.05,89.5060606060606,87.90883190883191,95.0,90.33764568764569,91.39480056980057
57,143704,95.24615384615385,80.36515151515152,96.52051282051282,80.85,86.77103729603729,89.71987179487179
58,151545,249.0,232.37878787878788,247.47464387464387,249.0,244.29708624708624,244.62962962962962
59,158345,60.0,60.0,60.0,60.0,60.0,60.0
60,162563,94.41923076923077,97.12878787878788,84.37378917378916,100.9,92.23747086247086,96.17343304843305
61,170273,434.5807692307692,684.0975757575757,708.9245014245014,838.1423076923077,633.182634032634,699.689943019943
62,175576,85.0,85.0,85.0,85.0,85.0,85.0
63,186328,250.0,250.0,250.0,250.0,250.0,250.0
64,189156,84.19615384615383,84.67242424242424,129.8937321937322,73.25769230769231,89.86159673659674,96.14840455840456
65,190984,91.18461538461538,83.92575757575759,74.91709401709402,94.75,84.16672494172494,88.22200854700856
66,192666,60.22692307692308,58.71636363636364,57.9059829059829,63.0,59.57587412587412,60.34876068376068
67,193836,92.5,92.38484848484848,92.5925925925926,92.5,90.99242424242425,93.9962962962963
68,202174,159.0,159.0,159.0,159.0,159.0,159.0
69,202251,255.5,214.6030303030303,243.26210826210826,255.5,238.4399766899767,245.9925925925926
70,202260,99.0,99.0,99.0,99.0,99.0,99.0
71,208670,212.0,212.0,212.0,212.0,212.0,212.0
72,210316,50.0,55.0,95.0,49.0,62.25,62.25
73,215882,90.15,92.37969696969697,127.38433048433049,90.15,95.74831002331003,104.28370370370371
74,218741,93.5,93.38484848484848,93.5925925925926,93.5,91.99242424242425,94.9962962962963
75,219532,260.6730769230769,267.4227272727273,275.0,275.0,269.45367132867136,269.59423076923076
76,222885,75.0,75.0,75.0,75.0,75.0,75.0
77,225820,90.0,90.0,90.0,90.0,90.0,90.0
78,226495,157.23076923076923,159.8969696969697,170.0,170.0,164.04079254079255,164.52307692307693
79,226536,49.22692307692307,49.31121212121212,59.19088319088319,51.0,51.058682983682985,53.30582621082621
80,226677,57.76923076923077,56.97939393939394,57.58119658119658,59.0,57.50815850815851,58.15675213675213
81,227636,120.90769230769232,141.04848484848486,155.03988603988603,192.0,148.32039627039626,156.17763532763533
